2024-05-08 21:22:55.833 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"123123","email":"admin@mail.com"}
2024-05-08 21:22:55.937 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","mensagem":"Login ou senha incorretos","status":401}
2024-05-08 21:23:02.533 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"123456","email":"admin@mail.com"}
2024-05-08 21:23:02.546 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","mensagem":"Login ou senha incorretos","status":401}
2024-05-08 21:23:14.572 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"admin@mail.com"}
2024-05-08 21:23:14.582 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","mensagem":"Login ou senha incorretos","status":401}
2024-05-08 21:23:22.623 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-08 21:23:22.698 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-08 21:23:25.777 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","user_id":"1667f019-b90b-441b-906d-25c3142d74f2","token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-08 21:23:25.803 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"visualizarCandidato","mensagem":"Sucesso","user":{"uuid":"1667f019-b90b-441b-906d-25c3142d74f2","nome":"Nome teste","email":"email@email.com","senha":"senha123"},"status":200}
2024-05-08 21:23:44.188 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"logout","token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-08 21:23:44.199 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"logout","status":204}
2024-05-08 21:24:03.535 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-08 21:24:03.550 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-08 21:25:17.255 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","user_id":"1667f019-b90b-441b-906d-25c3142d74f2","token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-08 21:25:17.263 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"visualizarCandidato","mensagem":"Sucesso","user":{"uuid":"1667f019-b90b-441b-906d-25c3142d74f2","nome":"Nome teste","email":"email@email.com","senha":"senha123"},"status":200}
2024-05-09 19:35:48.595 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-09 19:35:48.754 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-09 19:35:52.303 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","user_id":"1667f019-b90b-441b-906d-25c3142d74f2","token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-09 19:35:52.364 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"visualizarCandidato","mensagem":"Sucesso","user":{"uuid":"1667f019-b90b-441b-906d-25c3142d74f2","nome":"Nome teste","email":"email@email.com","senha":"senha123"},"status":200}
2024-05-09 20:02:35.107 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"","email":""}
2024-05-09 20:02:35.246 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","mensagem":"Login ou senha incorretos","status":401}
2024-05-09 20:03:00.754 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-09 20:03:00.814 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-09 20:03:06.491 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","user_id":"1667f019-b90b-441b-906d-25c3142d74f2","token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-09 20:03:06.544 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"visualizarCandidato","mensagem":"Sucesso","user":{"uuid":"1667f019-b90b-441b-906d-25c3142d74f2","nome":"Nome teste","email":"email@email.com","senha":"senha123"},"status":200}
2024-05-09 20:04:41.676 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-09 20:04:41.697 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-09 20:04:56.774 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"logout","token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-09 20:04:56.783 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"logout","status":204}
2024-05-09 20:05:07.217 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"dadsa","email":"email@email.coa"}
2024-05-09 20:05:07.243 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","mensagem":"Login ou senha incorretos","status":401}
2024-05-09 20:05:23.452 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-09 20:05:23.466 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-09 20:08:11.745 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-09 20:08:11.763 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-09 20:08:15.686 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-09 20:08:15.703 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"visualizarCandidato","mensagem":"Sucesso","user":null,"status":200}
2024-05-13 19:12:07.796 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:12:07.936 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:12:11.593 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 19:12:11.606 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"visualizarCandidato","mensagem":"Sucesso","user":null,"status":200}
2024-05-13 19:30:42.189 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:30:42.457 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:30:45.795 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 19:30:45.808 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"Nome teste","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 19:40:40.577 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:40:40.722 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:40:43.406 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 19:40:43.415 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"Nome teste","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 19:41:37.183 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"visualizarCandidato","email":"email@email.com"}
2024-05-13 19:41:37.197 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"senha":"Nome teste","operacao":"visualizarCandidato","nome":"Nome teste","status":201}
2024-05-13 19:44:38.289 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"senha123","email":"email@email.com"}
2024-05-13 19:44:38.428 [JavaFX Application Thread] INFO  com.sd.client.app.packages.SimpleResponse - Recebido: {"operacao":"loginCandidato","status":200,"token":"1667f019-b90b-441b-906d-25c3142d74f2"}
2024-05-13 19:45:44.936 [JavaFX Application Thread] INFO  com.sd.client.app.packages.BasePackage - Enviado: {"operacao":"loginCandidato","senha":"","email":"email@email.com"}
